entity_candidate,count
Ale,464
Nie,264
Jak,110
Tak,99
Ciebie,95
Adrian,77
Tylko,60
Teraz,41
Kasiu,39
Albo,36
Dobrze,35
Adriana,32
Dobranoc,30
Tez,30
Wiem,29
Choc,29
Chyba,28
Moze,28
Jeszcze,26
Wiec,26
Tobie,24
Czy,23
Czasem,22
Fajnie,21
Troche,20
Nawet,19
Pedro,19
Hehe,19
Zreszta,19
Dla,19
Juz,18
Dzis,18
Trzeba,17
Dobra,17
Kasia,17
Dlaczego,16
Cie,15
Wczoraj,14
Sama,14
Nic,14
Aha,14
Kiedys,14
Bez,14
Dopiero,14
Tzn,13
Wiesz,13
Zawsze,13
Zeby,13
Czyli,13
Sam,12
Szkoda,12
Ona,12
Poza,12
Musze,12
Mam,11
Ide,11
Niech,11
Takie,11
Jurgen,11
Bielsku,11
Potem,10
Tam,10
Taka,10
Jakos,10
Zaraz,10
Polsce,10
Pewnie,10
Tutaj,9
Raczej,9
Narazie,9
Lepiej,9
Myslalam,9
Taki,8
Dalej,8
Hej,8
Dawno,8
Wlasnie,8
Witam,8
Ciekawe,8
Tym,8
Mysle,8
Chce,8
Niby,8
Znowu,7
Adrianowi,7
Romek,7
Ostatnio,7
Pani,7
Przynajmniej,7
Szybko,7
Dzien,6
Powiem,6
Polski,6
Hmm,6
Dwa,6
Adrianek,6
Ten,6
Przeciez,6
Jedna,6
Jutro,6
Dzisiaj,6
Spokojnie,6
Bielska,6
Kasi,5
Zanim,5
Brat,5
Lubie,5
Adrianem,5
Niemczech,5
Razem,5
Kto,5
Bardzo,5
Mowilam,5
Poprostu,5
Duzo,5
Chcesz,5
Powiedz,5
Jesli,5
Dlatego,5
Przez,5
Kolezanka,5
Gdyby,5
Jednak,5
Dwie,5
Dobry,5
Ledwo,5
Marlena,5
Takze,5
Mnie,5
Cos,5
Mowie,5
Oni,5
Ciezko,5
Niz,4
Wtedy,4
Wystarczy,4
Milejczycach,4
Czas,4
Rozumiem,4
Musi,4
Szczegolnie,4
Oby,4
Pozatym,4
Toba,4
Internet,4
Czasu,4
Spisz,4
Bylo,4
Masz,4
Najgorzej,4
Jest,4
Naprawde,4
Babcia,4
Chcialabym,4
Bardziej,4
Ehh,4
Kiedy,4
Jestem,4
Bedzie,4
Fajne,4
Dawid,4
Mama,4
Gdy,4
Wszystko,4
Fajrant,3
Koniec,3
Siemiatyczach,3
Kazdy,3
Jakis,3
Widzialam,3
Kurde,3
Zazwyczaj,3
Raz,3
Ktos,3
Mozna,3
Goska,3
Bylam,3
Lubisz,3
Byc,3
Sporo,3
Mowi,3
Niezbyt,3
Coraz,3
Twoja,3
Jaka,3
Twoje,3
Twoj,3
Ake,3
Zobaczymy,3
Niestety,3
Czekam,3
Milego,3
Druga,3
Idziemy,3
Oczywiscie,3
Ole,3
Ola,3
Jestes,3
Przy,3
Nikt,3
